user_id,item_id,qty,price
29909,11731,1,422
34819,1583,2,846
29161,13378,1,634
23279,20581,1,916
24545,5237,1,807
22294,14738,1,705
34031,18203,1,411
21767,6339,1,743
34049,8243,1,579.5
32253,6355,1,1016
26076,6539,1,786
31746,12836,1,1351
23433,27525,1,782
3032,20848,1,776
34013,4783,1,691
19148,5939,1,793
26687,15231,1,618
4710,9434,1,540
14604,19255,1,842.4
21508,5589,1,848
29276,9867,1,794
28936,24533,1,430
33362,18353,1,757.15
7623,22547,1,343
28147,20672,1,1080
931,15608,1,686
32754,12917,1,366
4843,13747,1,479
35295,6993,1,782
26184,3991,1,845
28856,19190,1,574
5955,26168,1,998.1
25778,23345,1,804
26560,8518,1,687
27289,12759,1,580.45
10689,25181,1,596
8629,16840,1,692.55
16408,18198,1,553.85
30217,9219,1,682
20308,26868,1,436
1778,3471,1,630
31198,19557,1,901.55
30438,1765,1,545.3
2624,10581,1,698
18548,18483,1,791
21225,9776,1,640
32893,22048,1,311
36018,8728,1,680.2
32773,334,1,1484
594,23648,1,769
21171,18830,1,486.4
37107,22464,1,600
21898,14609,1,481
31172,8248,1,1778
33854,11824,1,578
15662,1583,1,846
33986,365,1,525
31025,7611,1,509
25930,17686,1,913
36952,6106,1,432
3391,595,1,788.5
30510,14338,1,437.75
19506,24300,1,1056
3064,12836,1,1351
9290,6617,1,623
30177,4761,1,1077
35605,25870,1,373
1860,24463,1,451
5719,1295,1,479.7
4860,6685,1,690.65
15730,16607,1,497.8
14185,286,1,1217
9996,24800,1,428.45
33554,2926,1,805.6
5769,27023,1,886.35
28062,19766,1,1086
28135,21781,1,516
16090,15291,1,655
5918,12762,1,1171
37358,14958,1,831
36285,17761,1,576
29161,16605,1,528
30563,18235,1,1223.1
30218,7976,1,848
11413,21011,1,628.9
18536,18070,1,495
33962,7070,1,1084
6198,21949,1,787
34034,5011,1,1029
9711,15048,1,831.25
32524,10312,1,319
21157,4724,1,527
20052,14602,1,597.55
30603,8249,1,1583
26680,12803,1,847
28430,15656,1,628
21712,8326,1,1073
2269,27294,1,852.3
22900,4115,1,560
22741,12405,1,882
33854,21011,1,628.9
33995,15231,1,618
33954,18052,1,814.15
32355,17383,1,1090
1678,12380,1,760.95
5333,21153,1,981
33164,6106,1,432
13971,3450,1,975.65
18208,440,1,1037.4
9252,5291,1,830.3
31443,7664,1,525
30530,11202,1,639
22902,834,1,605
28545,10727,1,865
38783,6990,1,1439
34007,6336,1,820.8
38135,22531,1,509
20434,4163,1,1355
38214,11800,1,497
27605,118,1,615
33973,22782,1,849
5680,20622,1,750
29973,12533,1,988
15492,3971,1,346.75
24669,5042,1,890.15
22180,25620,1,749
28307,17481,1,580
32539,6997,1,1018
1214,4747,1,648
25084,9507,2,408.52
9292,5425,1,442
28226,9285,1,851.2
33805,10721,1,969.95
34041,10898,1,521.55
36064,19840,1,369
27252,21050,1,817.95
28307,3450,1,1027
25380,19408,1,704
18149,13832,1,551
37381,15271,1,775
33802,21913,1,496.85
38396,5587,1,517.75
23075,1514,1,755.25
39696,23855,1,910
5608,26797,1,710
39789,21275,1,748.6
20956,6570,1,1211.25
25838,21050,1,861
1427,2068,1,568.1
30177,9450,1,702
16561,26469,1,522
8247,11468,1,360.9
22906,12380,1,801
18694,21781,1,516
32680,24506,1,560
20330,20158,1,694
34575,18848,1,404
18694,22937,1,756.2
38380,10852,1,1062
18207,12836,1,1215.9
7479,5600,1,854.05
6173,8980,1,693.9
18224,20578,1,1025.05
3043,6891,1,831.25
33950,8497,1,548
7063,20290,1,596
31317,1874,1,668.8
22741,12804,1,1012.7
33969,9777,1,720.9
38046,25282,1,871
36059,11009,1,565.2
29718,13048,1,534
27280,12836,1,1351
19479,26778,1,619.4
11583,2028,1,643
24349,20184,1,707
30086,2587,1,1198
9252,4997,1,1116
31770,16267,1,528.2
19506,12405,1,882
34052,25574,1,450
28302,4950,1,1053.55
20826,22140,1,1243
34054,10409,1,875.7
32078,6880,1,636
32951,17687,1,1123.85
6640,2198,1,590
5878,19153,1,963
21689,589,1,848.35
28368,20724,1,818
5190,11802,1,562
33982,4278,1,580
28708,1139,1,997
32434,17735,1,625.1
38098,25494,1,357
28307,18629,1,285
37495,18224,1,455
32754,3123,1,406.6
28925,112,1,688
36041,13375,1,780
22615,25687,1,1249
24922,16303,1,539.1
13694,5006,1,755.25
36868,9434,2,513
18536,17788,1,1044
31712,6129,1,565
28302,27461,1,1763
30831,20366,1,560
34575,147,1,730.55
36966,12299,1,1272
36582,9404,1,425
34347,5511,1,376.2
35410,1049,1,976
2283,3328,1,654
23363,1324,1,711.55
22829,1362,1,1134
10311,13327,1,349
26853,302,1,804
14610,24153,1,975
27022,11004,1,647
11432,8235,1,791
10423,6391,1,860
21498,4003,1,1055.45
25563,21022,1,1517
31531,15231,1,618
33597,24445,1,734
28247,20240,1,517
32061,1655,1,329
34304,2989,1,628
32267,21092,1,1184
31329,26569,1,767
33936,5463,1,394.25
23397,6222,1,340
30004,20354,1,801
27559,16505,1,1412
33965,22918,1,480
31205,16761,1,829
27668,12936,1,856
24016,20181,1,698
2184,23231,1,774
32061,26650,1,681
10772,12804,1,1012.7
34640,27710,1,760
36055,10137,1,360
37155,12877,1,1280
13447,20485,1,605
16248,9018,1,925
16976,3774,1,588
13971,3920,1,686.85
6173,9365,1,518
33265,24070,1,886
20952,25078,1,703.95
1655,959,1,716
8818,23918,1,805.5
32238,4248,1,556
11911,1583,1,761.4
25377,21910,1,448
28984,3428,1,1151
28620,27206,1,719
27879,2987,1,483.55
22503,27762,1,761
1773,4865,1,719
22358,20734,1,903
33820,24890,1,1295.8
2476,11473,1,651.6
14248,15748,1,390
38871,13208,1,705
25686,18629,1,300
27482,3003,1,534
19500,11464,1,508.25
9721,26453,1,834
11383,22546,1,796
2596,19015,1,965
27975,2152,1,438
21255,27023,1,933
32104,21200,1,617
23049,2889,1,758
22724,17636,1,763
23261,9448,1,716.3
24182,2643,1,552
20938,15084,1,1076
1758,14794,1,1063
13860,22801,1,700
26681,4335,1,481.65
33955,23933,1,452
28980,1514,1,795
639,5825,1,489
19064,21468,1,1517
30671,14099,1,486
25489,535,1,841
2910,13075,1,383.8
19083,12313,1,1002
23573,10547,1,693
29170,20769,1,1045
23327,27710,1,760
31027,27728,1,533.9
33158,15365,1,635
31370,21214,1,576.65
28514,5693,1,684
33557,7295,1,437
7644,24421,1,1049
25979,22412,1,931
32843,15054,1,558.6
4844,21688,1,971
24347,12469,1,1026
32416,5921,1,845
27455,16385,1,488
22612,2643,1,552
32298,14376,1,1422
36341,21923,1,681
6198,27552,1,642
22718,19190,1,574
32039,3722,1,474
27040,14264,1,1173
30032,8250,1,1370
2662,7155,1,778
15352,14640,1,596
6440,26705,1,291.65
27560,11202,1,639
27607,18677,1,536
23397,8881,1,475.2
1955,12946,1,1062
18469,13970,1,585.2
31746,14514,1,436
4895,25267,1,512
27946,7880,1,1139
24609,8243,1,610
4844,16856,1,649.8
34006,13067,1,452
23907,21528,1,997
15152,18530,1,601
34020,12880,1,1195
37941,27179,1,819
27442,20769,1,992.75
30244,6994,1,999
33969,18325,1,498
35959,9236,1,367
33153,887,1,902.5
25877,5897,1,716.3
27898,14735,1,410.4
24799,3991,1,845
20285,25871,1,597.6
34036,24372,1,614
37105,2654,1,293.55
4779,16074,1,788
31851,9779,1,626
27668,16354,1,602.3
6484,16761,1,829
34030,11159,1,632
37338,9434,2,540
6306,18681,1,599.4
31025,20181,1,698
4476,3911,1,573.8
27975,13068,1,289.75
24610,27454,1,909.15
24133,6251,1,864
9721,25654,1,1125
27707,26301,1,1372
5603,27283,1,758
26751,20848,1,737.2
27876,20297,1,648.85
1710,15231,1,618
34031,5614,1,643
28368,18250,1,520
31157,21289,1,618
25003,7888,1,693
17868,16150,1,498
33981,11885,1,484
36586,13104,1,439.85
39208,20988,1,980
937,988,1,566.2
5792,9236,1,367
29439,9460,1,461
33981,6129,1,565
13104,23892,1,456
24311,15911,1,437
19857,24606,1,588
30545,10402,1,812.25
20835,17481,1,551
31304,25862,1,544
20421,6650,1,635
34018,17491,1,785.65
31317,6869,1,414
22126,23361,1,429
23809,16204,1,611
33312,9320,1,477
33899,16386,1,544
30545,10625,1,733
32956,7785,1,801
25892,22494,1,858
4860,17735,1,658
18208,19544,1,745.75
9923,14593,1,504
10621,25789,1,510
37129,25029,1,412
30133,19675,1,748
24013,10406,1,1017
10557,536,1,961
11432,396,1,673.55
39860,5087,1,763
21173,13731,1,659.3
16825,17810,1,666
25267,5466,1,945.25
4947,9833,1,686
5363,2037,1,493.05
2220,19190,1,574
31589,1568,1,598
25223,2643,1,552
33741,22555,1,784
31646,12879,1,953
34012,7133,1,930
33562,16655,1,871
25540,1571,1,1038
32917,4183,1,587
33872,18151,1,528
24997,21781,1,490.2
20537,1563,1,712
30361,24956,1,436
29899,22556,1,582.35
33741,4900,1,907.25
30831,1868,1,706.8
26897,1413,1,428.45
4541,16660,1,1068
30765,15683,1,920
14081,15242,1,978
33742,2810,1,1047
6518,14494,1,431
2846,5237,1,807
30482,910,1,469
21213,19619,1,1040.25
2269,8630,1,350
26077,8395,1,836
34031,18590,1,445
23675,1669,1,694
9535,10144,1,393.3
30702,5574,1,657.4
1637,10447,1,655
3479,7457,1,551
11493,15396,1,759
10413,7867,1,313.5
28430,3460,1,1103
31249,2469,1,1089
2695,7462,1,798
21173,5587,1,545
27619,11456,1,404.1
30418,1968,1,399
15329,1187,1,564
16247,10191,1,699.2
32773,24463,1,428.45
2058,26868,1,436
25076,23809,1,765.7
28617,23194,1,595
16564,4777,1,1152
19148,12648,1,884
12220,23361,1,407.55
30203,9404,1,425
35172,18590,1,445
23436,19163,1,379
18982,7223,1,603.25
38463,24956,1,392.4
39706,24039,1,716.3
2976,23368,1,1010.8
31816,19190,1,574
31601,15227,1,418.95
4541,20548,1,628
14617,8513,1,914
6444,22587,1,347
29383,6288,1,905.35
28447,3416,1,571
7528,22122,1,895
32526,19420,1,998.45
36212,3169,1,462.65
39639,6182,1,398.05
10010,536,1,961
22159,3450,1,1027
22867,4852,1,1327.15
6628,23363,1,579.5
35635,4783,1,656.45
22517,4863,1,979
19565,13291,1,889
6762,20671,1,973.75
31499,16779,1,852
27857,20769,1,992.75
33321,22345,1,610
29909,17761,1,576
34156,1599,2,631.75
34052,10827,1,497
32277,19198,1,1105.8
36117,20702,1,712.5
35920,5651,1,519
15081,17292,1,627
28050,19580,1,792
22180,21398,1,425
924,6512,1,1097
2058,25605,1,589
21634,23419,1,419
594,24879,1,990
23396,17639,1,634
8054,17784,1,1442
21877,497,1,540
16492,23843,1,800
37346,5318,1,1123.2
38667,26309,1,1016
34046,19860,1,620
6761,19518,1,928
23258,5022,1,1043.1
34053,24333,1,896.8
27922,15617,1,757
39014,1217,1,812.25
14739,12254,1,692
34016,4057,1,653
14175,17349,1,303.05
5486,5321,1,760
32035,2433,1,789
23257,9273,1,318
33555,3450,1,1027
29909,21005,1,745.75
32076,10933,1,543
29161,5571,1,703
12296,12380,1,801
9721,8055,1,722
19765,19497,1,668
30842,9450,1,702
11192,26300,1,616
11014,12790,1,1211
17693,1186,1,736
31172,17930,1,1065.9
29960,6217,1,442
38711,1571,1,986.1
19933,22042,1,655
37030,6244,1,771
30702,10636,1,589
24635,4852,1,1327.15
19762,3581,1,843
4242,11271,1,866
33492,4863,1,979
34503,3284,1,880
31455,16655,1,827.45
9504,12835,1,1089
22738,118,1,584.25
22380,272,1,307.8
1981,27983,1,995
677,22764,1,712
32888,27359,1,420
14617,18276,1,462
31810,18878,1,432
27632,22535,1,759
24339,10190,1,689
33438,8850,1,817.2
31250,20635,1,630.8
30866,23044,1,807.3
33975,18130,1,566
27498,17461,1,434
31508,21181,1,937
38905,3689,1,617
30159,7699,1,451
5562,8328,1,793
8529,23556,1,874
28767,22547,1,325.85
1756,27210,1,547.2
33939,25180,1,521
33359,18978,1,599
31157,2717,1,459
8430,14088,1,391
32823,22172,1,671
38087,18505,1,1026.95
28286,10721,1,1021
3238,3694,1,503.5
32047,24164,1,671
38135,22432,1,442.7
34017,11592,1,676
38240,8850,1,908
14769,5928,1,1030
31299,8243,1,610
7802,18259,1,416
33393,7090,1,773.3
6245,4865,1,719
27725,15056,1,625
5927,20107,1,628
13162,5705,1,538.65
3098,20833,1,826
21449,4596,1,373
27874,17667,1,402
19720,17245,1,816
31851,898,1,822
30976,7326,1,603
32797,26756,1,1178
12341,1716,1,362
30765,8904,1,854.05
14667,23850,1,664.05
35197,17376,1,878.4
29646,9073,1,1012.7
27128,2513,1,846.45
25448,1331,1,335.35
20458,19190,1,574
25693,4701,1,718.2
12296,25870,1,373
306,22785,1,756
2976,15084,1,1076
28134,13695,1,797
4303,5550,1,561
22083,24049,1,577
8887,26989,1,741.6
4666,22637,1,624
32253,7613,1,516.8
25742,5602,1,487.35
9923,984,1,822
34031,18629,1,300
5822,26536,1,460
35122,3328,1,621.3
18469,24233,1,591.3
14880,10312,1,319
2269,10712,1,330
11944,27390,1,303
31857,27252,1,576.65
